Rk,School,G,W,L,W-L%,SRS,SOS, ,W,L, ,W,L, ,W,L, ,Tm.,Opp., ,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Abilene Christian,22,9,13,.409,-8.25,-0.56,,1,6,,6,4,,2,9,,1533,1569,,885,554,1248,.444,103,342,.301,322,464,.694,245,742,285,216,62,333,441
Air Force,23,3,20,.130,-6.73,1.80,,0,12,,2,10,,0,10,,1454,1650,,925,496,1144,.434,185,535,.346,277,436,.635,178,691,303,131,70,308,401
Akron,22,17,5,.773,4.16,-3.74,,10,0,,11,0,,5,3,,1846,1604,,885,670,1454,.461,248,691,.359,258,344,.750,280,895,407,170,81,273,402
Alabama,22,19,3,.864,25.22,13.31,,8,1,,10,1,,6,1,,1985,1723,,885,669,1405,.476,224,667,.336,423,597,.709,307,985,375,137,114,291,406
Alabama A&M,22,7,15,.318,-19.66,-7.72,,3,6,,7,6,,0,9,,1694,1798,,900,585,1423,.411,185,574,.322,339,508,.667,339,848,317,192,95,362,478
Alabama State,22,9,13,.409,-10.59,-5.78,,5,4,,5,1,,2,10,,1639,1689,,885,572,1403,.408,200,611,.327,295,437,.675,258,785,256,159,52,206,424
Albany (NY),23,11,12,.478,-10.11,-7.68,,3,5,,5,5,,4,6,,1722,1710,,930,632,1429,.442,155,503,.308,303,414,.732,261,762,282,197,41,251,427
Alcorn State,22,5,17,.227,-13.91,-0.87,,5,4,,3,2,,2,15,,1372,1652,,885,486,1257,.387,132,397,.332,268,375,.715,275,748,227,143,66,325,381
American,24,14,10,.583,-8.50,-5.23,,8,3,,8,1,,3,9,,1663,1673,,975,569,1290,.441,205,591,.347,320,421,.760,191,725,301,148,50,276,444
Appalachian State,23,14,9,.609,-0.42,-2.32,,8,4,,9,3,,3,5,,1591,1455,,920,561,1246,.450,183,518,.353,286,440,.650,216,857,308,135,85,261,315
Arizona,22,16,6,.727,23.90,10.58,,10,1,,10,1,,5,2,,1823,1530,,890,647,1363,.475,157,478,.328,372,484,.769,279,894,376,186,94,255,357
Arizona State,22,12,10,.545,13.15,11.97,,3,8,,5,5,,2,4,,1609,1583,,885,548,1250,.438,196,550,.356,317,451,.703,211,794,296,115,111,294,363
Arkansas,22,14,8,.636,16.30,8.16,,3,6,,10,3,,3,3,,1690,1511,,880,609,1304,.467,165,488,.338,307,420,.731,205,784,322,170,124,246,360
Arkansas State,24,18,6,.750,5.85,-1.63,,9,3,,11,0,,6,4,,1886,1671,,970,644,1523,.423,220,673,.327,378,523,.723,308,972,315,177,109,258,440
Arkansas-Pine Bluff,22,4,18,.182,-25.05,-4.95,,1,8,,4,4,,0,14,,1634,1935,,880,610,1325,.460,166,513,.324,248,417,.595,221,754,320,150,46,331,439
Army,23,13,10,.565,-10.09,-7.09,,7,4,,10,3,,3,7,,1718,1689,,940,648,1440,.450,202,614,.329,220,341,.645,243,828,355,150,50,232,343
Auburn,22,21,1,.955,31.10,12.65,,9,0,,10,0,,5,1,,1873,1467,,880,669,1371,.488,211,565,.373,324,433,.748,271,853,381,165,154,206,399
Austin Peay,24,9,15,.375,-10.01,-1.42,,4,7,,5,4,,3,10,,1661,1783,,975,581,1447,.402,193,597,.323,306,434,.705,254,807,278,175,58,255,430
Ball State,22,10,12,.455,-7.79,-6.00,,4,6,,4,5,,4,6,,1671,1628,,880,557,1203,.463,159,461,.345,398,582,.684,209,789,295,110,45,261,363
