Rk,School,G,W,L,W-L%,SRS,SOS, ,W,L, ,W,L, ,W,L, ,Tm.,Opp., ,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
Abilene Christian,21,9,12,.429,-7.34,-0.51,,1,5,,6,4,,2,8,,1473,1486,,845,533,1200,.444,100,332,.301,307,441,.696,235,714,278,210,61,317,427
Air Force,21,3,18,.143,-6.58,1.56,,0,10,,2,9,,0,9,,1330,1501,,845,455,1043,.436,169,497,.340,251,400,.628,157,625,280,123,64,279,363
Akron,20,15,5,.750,3.80,-3.76,,8,0,,10,0,,4,3,,1680,1460,,805,606,1328,.456,230,636,.362,238,314,.758,259,823,367,158,74,253,367
Alabama,20,17,3,.850,25.05,13.20,,6,1,,9,1,,5,1,,1807,1570,,805,608,1285,.473,198,610,.325,393,554,.709,281,892,340,130,100,257,372
Alabama A&M,20,7,13,.350,-19.08,-7.49,,3,4,,7,6,,0,7,,1540,1614,,820,531,1298,.409,167,523,.319,311,467,.666,310,784,295,178,88,339,436
Alabama State,20,8,12,.400,-10.45,-5.24,,4,3,,5,1,,1,9,,1508,1556,,805,528,1284,.411,183,557,.329,269,398,.676,241,719,240,150,45,191,381
Albany (NY),22,11,11,.500,-9.79,-7.44,,3,4,,5,4,,4,6,,1661,1645,,890,607,1368,.444,150,479,.313,297,407,.730,254,736,267,184,37,239,410
Alcorn State,20,4,16,.200,-14.61,-0.08,,4,3,,3,2,,1,14,,1243,1525,,805,439,1153,.381,116,358,.324,249,346,.720,256,681,203,129,61,291,349
American,21,12,9,.571,-7.68,-4.53,,6,2,,7,1,,2,8,,1468,1466,,855,503,1132,.444,180,517,.348,282,371,.760,165,634,267,134,47,243,397
Appalachian State,20,12,8,.600,0.88,-1.07,,6,3,,7,2,,3,5,,1374,1243,,800,482,1078,.447,160,451,.355,250,383,.653,193,752,264,120,75,231,279
Arizona,20,14,6,.700,23.53,9.88,,8,1,,10,1,,3,2,,1657,1384,,810,590,1230,.480,141,433,.326,336,445,.755,249,797,341,172,82,230,325
Arizona State,20,12,8,.600,13.31,11.51,,3,6,,5,3,,2,4,,1467,1431,,804,501,1125,.445,172,479,.359,293,416,.704,190,722,264,110,103,276,333
Arkansas,20,12,8,.600,15.15,7.10,,1,6,,10,3,,1,3,,1523,1362,,800,555,1196,.464,145,446,.325,268,369,.726,198,718,291,152,115,230,319
Arkansas State,21,16,5,.762,6.23,-1.42,,7,2,,11,0,,4,3,,1648,1452,,850,562,1346,.418,196,617,.318,328,455,.721,274,856,285,156,96,221,392
Arkansas-Pine Bluff,20,3,17,.150,-25.68,-3.46,,0,7,,3,3,,0,14,,1489,1788,,800,555,1205,.461,156,477,.327,223,365,.611,199,680,285,137,41,309,400
Army,20,11,9,.550,-11.00,-6.84,,5,3,,8,3,,3,6,,1498,1481,,820,560,1245,.450,182,542,.336,196,301,.651,203,718,304,135,46,214,294
Auburn,19,18,1,.947,30.82,12.14,,6,0,,9,0,,3,1,,1596,1241,,760,575,1168,.492,181,486,.372,265,356,.744,221,727,324,135,136,178,335
