Rk,Player,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Quion Williams,G,20,20,29.7,5.3,11.0,.479,0.7,1.8,.361,4.6,9.2,.503,.509,2.7,4.0,.671,1.9,3.8,5.6,2.8,0.9,0.7,3.0,2.2,13.8,
Leonardo Bettiol,F,22,21,26.0,5.2,9.3,.556,0.0,0.2,.200,5.1,9.1,.565,.559,3.3,4.7,.709,1.6,2.3,3.9,1.2,1.1,0.4,2.0,3.2,13.7,
Bradyn Hubbard,F,21,13,21.4,3.2,6.4,.500,0.5,1.2,.440,2.7,5.2,.514,.541,1.8,2.1,.822,1.9,3.4,5.3,0.8,1.3,0.2,1.1,2.3,8.7,
Hunter-Jack Madden,G,22,19,26.0,2.4,7.4,.321,1.5,5.1,.295,0.9,2.3,.380,.423,1.6,1.8,.923,0.5,1.4,2.0,2.0,1.0,0.1,2.1,1.0,7.9,
Dontrez Williams,G,22,0,16.1,2.1,5.0,.414,0.4,1.6,.229,1.7,3.5,.500,.450,1.5,2.3,.647,1.0,1.8,2.8,0.5,1.2,0.3,1.1,1.8,6.0,
Rich Smith,G,21,13,19.8,1.5,3.0,.516,0.0,0.0,.000,1.5,2.9,.525,.516,1.7,2.8,.593,0.2,1.8,2.0,2.4,1.1,0.2,1.5,2.5,4.7,
Christian Alston,G,14,0,9.5,1.4,3.7,.385,0.5,1.3,.389,0.9,2.4,.382,.452,1.2,1.6,.739,0.9,1.1,2.0,0.6,0.7,0.3,0.8,0.9,4.6,
Nasir DeGruy,G,22,9,19.0,1.5,4.4,.344,0.1,1.0,.143,1.4,3.4,.400,.359,0.6,0.8,.722,0.3,1.4,1.7,1.4,1.4,0.1,1.7,1.9,3.7,
Cade Hornecker,C,21,1,9.0,1.4,3.0,.469,0.1,0.4,.222,1.3,2.6,.509,.484,0.3,0.6,.583,0.8,1.2,2.0,0.4,0.2,0.2,0.5,1.6,3.3,
Yaniel Rivera,G,22,7,13.4,1.0,3.2,.300,0.6,2.3,.275,0.3,0.9,.368,.400,0.2,0.4,.625,0.2,1.4,1.5,1.0,0.6,0.0,0.5,0.9,2.8,
Colby Tanner,G,19,0,3.5,0.6,1.6,.387,0.6,1.5,.379,0.1,0.1,.500,.565,0.1,0.1,.500,0.1,0.2,0.3,0.1,0.2,0.0,0.1,0.3,1.9,
Joseph Venzant,G,8,6,19.8,0.5,1.3,.400,0.0,0.0,,0.5,1.3,.400,.400,0.6,1.5,.417,0.5,3.5,4.0,0.5,0.9,0.1,1.0,2.1,1.6,
Ma'Shy Hill,F,20,1,6.7,0.6,0.9,.611,0.0,0.0,,0.6,0.9,.611,.611,0.4,0.7,.538,0.6,0.7,1.2,0.1,0.2,0.4,0.5,1.5,1.5,
Jack Sawyer,F,12,0,6.3,0.6,1.2,.500,0.0,0.0,,0.6,1.2,.500,.500,0.0,0.0,,0.5,0.8,1.3,0.3,0.2,0.0,0.3,0.8,1.2,
