Rk,Player,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
Quion Williams,G,19,19,30.0,5.4,11.2,.481,0.6,1.8,.353,4.7,9.4,.506,.509,2.8,4.2,.671,1.9,3.9,5.8,2.8,0.9,0.7,3.0,2.3,14.2,
Leonardo Bettiol,F,21,20,26.1,5.3,9.5,.558,0.0,0.2,.200,5.2,9.2,.567,.560,3.4,4.7,.724,1.7,2.4,4.0,1.1,1.0,0.4,2.0,3.3,14.0,
Bradyn Hubbard,F,20,12,21.2,3.1,6.3,.492,0.5,1.2,.435,2.6,5.2,.505,.532,1.7,2.0,.825,2.0,3.2,5.2,0.8,1.3,0.2,1.2,2.3,8.4,
Hunter-Jack Madden,G,21,19,26.5,2.4,7.6,.321,1.6,5.2,.300,0.9,2.3,.367,.425,1.7,1.9,.923,0.5,1.5,2.0,2.1,1.1,0.1,2.1,1.0,8.1,
Dontrez Williams,G,21,0,16.3,2.0,5.1,.402,0.3,1.6,.212,1.7,3.5,.486,.435,1.5,2.3,.646,1.0,1.9,2.9,0.5,1.1,0.3,1.1,1.8,5.9,
Rich Smith,G,20,12,19.6,1.5,2.9,.517,0.0,0.1,.000,1.5,2.9,.526,.517,1.8,3.0,.593,0.2,1.8,2.0,2.5,1.2,0.3,1.5,2.7,4.8,
Christian Alston,G,13,0,9.2,1.5,3.5,.413,0.5,1.2,.438,0.9,2.3,.400,.489,1.0,1.3,.765,0.8,1.2,2.0,0.7,0.8,0.3,0.7,0.8,4.5,
Nasir DeGruy,G,21,9,19.0,1.6,4.4,.355,0.1,1.0,.143,1.4,3.4,.417,.371,0.6,0.9,.722,0.3,1.4,1.7,1.4,1.4,0.1,1.6,1.9,3.9,
Cade Hornecker,C,20,1,9.2,1.5,3.2,.476,0.1,0.5,.222,1.4,2.7,.519,.492,0.4,0.6,.583,0.9,1.3,2.2,0.4,0.3,0.3,0.6,1.6,3.5,
Yaniel Rivera,G,21,6,13.4,1.0,3.3,.290,0.7,2.4,.275,0.3,0.9,.333,.391,0.1,0.3,.500,0.2,1.4,1.6,1.0,0.7,0.0,0.6,0.9,2.7,
Colby Tanner,G,18,0,3.4,0.7,1.7,.400,0.6,1.6,.379,0.1,0.1,1.000,.583,0.1,0.1,.500,0.1,0.2,0.2,0.1,0.2,0.0,0.1,0.3,2.0,
Joseph Venzant,G,8,6,19.8,0.5,1.3,.400,0.0,0.0,,0.5,1.3,.400,.400,0.6,1.5,.417,0.5,3.5,4.0,0.5,0.9,0.1,1.0,2.1,1.6,
Jack Sawyer,F,11,0,6.1,0.6,1.3,.500,0.0,0.0,,0.6,1.3,.500,.500,0.0,0.0,,0.5,0.7,1.3,0.3,0.2,0.0,0.4,0.8,1.3,
Ma'Shy Hill,F,19,1,6.5,0.5,0.7,.643,0.0,0.0,,0.5,0.7,.643,.643,0.3,0.6,.545,0.5,0.7,1.2,0.1,0.2,0.4,0.5,1.3,1.3,
